id,text,textgr
104,It is not their love for men but the impotence of their love for men which hinders the Christians of today from - burning us.,"Nicht ihre Menschenliebe, sondern die Ohnmacht ihrer Menschenliebe hindert die Christen von heute, uns - zu verbrennen."
105,"The free spirit, the `pious man of knowledge' - finds pia fraus even more offensive to his taste (to his kind of `piety') than impia fraus. Hence the profound lack of understanding of the church typical of the `free spirit' - his kind of unfreedom.","Dem freien Geiste, dem ""Frommen der Erkenntniss"" - geht die pia fraus noch mehr wider den Geschmack (wider seine ""Frömmigkeit"") als die impia fraus. Daher sein tiefer Unverstand gegen die Kirche, wie er zum Typus ""freier Geist"" gehört, - als seine Unfreiheit."
106,By means of music the passions enjoy themselves.,Vermöge der Musik geniessen sich die Leidenschaften selbst.
107,To close your ears to even the best counter-argument once the decision has been taken: sign of a strong character. Thus an occasional will to stupidity.,"Wenn der Entschluss einmal gefasst ist, das Ohr auch für den besten Gegengrund zu schliessen: Zeichen des starken Charakters. Also ein gelegentlicher Wille zur Dummheit."
108,"There are no moral phenomena at all, only a moral interpretation of phenomena. . .","Es giebt gar keine moralischen Phänomene, sondern nur eine moralische Ausdeutung von Phänomenen....."
109,The criminal is often enough not equal to his deed: he disparages and slanders it.,Der Verbrecher ist häufig genug seiner That nicht gewachsen: er verkleinert und verleumdet sie.
110,A criminal's lawyers are seldom artists enough to turn the beautiful terribleness of the deed to the advantage of him who did it,"Die Advokaten eines Verbrechers sind selten Artisten genug, um das schöne Schreckliche der That zu Gunsten ihres Thäters zu wenden."
111,Our vanity is hardest to wound precisely when our pride has just been wounded.,"Unsre Eitelkeit ist gerade dann am schwersten zu verletzen, wenn eben unser Stolz verletzt wurde."
112,He who feels predestined to regard and not believe finds all believers too noisy and importunate: he rebuffs them.,"Wer sich zum Schauen und nicht zum Glauben vorherbestimmt fühlt, dem sind alle Gläubigen zu lärmend und zudringlich: er erwehrt sich ihrer."
113,`You want to make him interested in you? Then pretend to be embarrassed in his presence -',Du willst ihn für dich einnehmen? So stelle dich vor ihm verlegen -
114,The tremendous expectation in regard to sexual love and the shame involved in this expectation distorts all a woman's perspectives from the start.,"Die ungeheure Erwartung in Betreff der Geschlechtsliebe, und die Scham in dieser Erwartung, verdirbt den Frauen von vornherein alle Perspektiven."
115,Where neither love nor hate is in the game a woman is a mediocre player.,"Wo nicht Liebe oder Hass mitspielt, spielt das Weib mittelmässig."
116,The great epochs of our life are the occasions when we gain the courage to rebaptize our evil qualities as our best qualities.,"Die grossen Epochen unsres Lebens liegen dort, wo wir den Muth gewinnen, unser Böses als unser Bestes umzutaufen."
117,The will to overcome an emotion is ultimately only the will of another emotion or of several others.,"Der Wille, einen Affekt zu überwinden, ist zuletzt doch nur der Wille eines anderen oder mehrer anderer Affekte."
118,There is an innocence in admiration: he has it to whom it has not yet occurred that he too could one day be admired.,"Es giebt eine Unschuld der Bewunderung: Der hat sie, dem es noch nicht in den Sinn gekommen ist, auch er könne einmal bewundert werden."
119,Disgust with dirt can be so great that it prevents us from cleaning ourselves - from `justifying' ourselves.,"Der Ekel vor dem Schmutze kann so gross sein, dass er uns hindert, uns zu reinigen, - uns zu ""rechtfertigen""."
120,"Sensuality often makes love grow too quickly, so that the root remains weak and is easy to pull out.","Die Sinnlichkeit übereilt oft das Wachsthum der Liebe, so dass die Wurzel schwach bleibt und leicht auszureissen ist."
121,It was a piece of subtle refinement that God learned Greek when he wanted to become a writer- and that he did not learn it better.,"Es ist eine Feinheit, dass Gott griechisch lernte, als er Schriftsteller werden wollte - und dass er es nicht besser lernte."
122,To enjoy praise is with some people only politeness of the heart - and precisely the opposite of vanity of the spirit.,Sich über ein Lob freuen ist bei Manchem nur eine Höflichkeit des Herzens - und gerade das Gegenstück einer Eitelkeit des Geistes.
123,Even concubinage has been corrupted: - by marriage.,Auch das Concubinat ist corrumpirt worden: - durch die Ehe.
124,He who rejoices even at the stake triumphs not over pain but at the fact that he feels no pain where he had expected to feel it. A parable.,"Wer auf dem Scheiterhaufen noch frohlockt, triumphirt nicht über den Schmerz, sondern darüber, keinen Schmerz zu fühlen, wo er ihn erwartete. Ein Gleichniss."
125,When we have to change our opinion about someone we hold the inconvenience he has therewith caused us greatly to his discredit.,"Wenn wir über Jemanden umlernen müssen, so rechnen wir ihm die Unbequemlichkeit hart an, die er uns damit macht."
126,A people is a detour of nature to get to six or seven great men. - Yes: and then to get round them.,"Ein Volk ist der Umschweif der Natur, um zu sechs, sieben grossen Männern zu kommen. - Ja: und um dann um sie herum zu kommen."
127,Science offends the modesty of all genuine women. They feel as if one were trying to look under their skin - or worse! under their clothes and finery.,"Allen rechten Frauen geht Wissenschaft wider die Scham. Es ist ihnen dabei zu Muthe, als ob man damit ihnen unter die Haut, - schlimmer noch! unter Kleid und Putz gucken wolle."
128,The more abstract the truth you want to teach the more you must seduce the senses to it.,"Je abstrakter die Wahrheit ist, die du lehren willst, um so mehr musst du noch die Sinne zu ihr verführen."
129,"The devil has the widest perspectives for God, and that is why he keeps so far away from him - the devil being the oldest friend of knowledge.","Der Teufel hat die weitesten Perspektiven für Gott, deshalb hält er sich von ihm so fern: - der Teufel nämlich als der älteste Freund der Erkenntniss."
130,What a person is begins to betray itself when his talent declines - when he ceases to show what he can do. Talent is also finery; finery is also a hiding place.,"Was jemand ist, fängt an, sich zu verrathen, wenn sein Talent nachlässt, - wenn er aufhört, zu zeigen, was er kann. Das Talent ist auch ein Putz; ein Putz ist auch ein Versteck."
131,"The sexes deceive themselves about one another: the reason being that fundamentally they love and honour only themselves (or their own ideal, to express it more pleasantly-). Thus man wants woman to be peaceful - but woman is essentially unpeaceful, like the cat, however well she may have trained herself to present an appearance of peace.","Die Geschlechter täuschen sich über einander: das macht, sie ehren und lieben im Grunde nur sich selbst (oder ihr eigenes ideal, um es gefälliger auszudrücken -). So will der Mann das Weib friedlich, - aber gerade das Weib ist wesentlich unfriedlich, gleich der Katze, so gut es sich auch auf den Anschein des Friedens eingeübt hat."
132,One is punished most for one's virtues.,Man wird am besten für seine Tugenden bestraft.
133,He who does not know how to find the road to his ideal lives more frivolously and impudently than the man without an ideal.,"Wer den Weg zu seinem Ideale nicht zu finden weiss, lebt leichtsinniger und frecher, als der Mensch ohne Ideal."
134,"All credibility, all good conscience, all evidence of truth comes only from the senses.","Von den Sinnen her kommt erst alle Glaubwürdigkeit, alles gute Gewissen, aller Augenschein der Wahrheit."
135,Pharisaism is not degeneration in a good man: a good part of it is rather the condition of all being good.,Der Pharisäismus ist nicht eine Entartung am guten Menschen: ein gutes Stück davon ist vielmehr die Bedingung von allem Gut-sein.
136,"One seeks a midwife for his thoughts, another someone to whom he can be a midwife: thus originates a good conversation.","Der Eine sucht einen Geburtshelfer für seine Gedanken, der Andre Einen, dem er helfen kann: so entsteht ein gutes Gespräch."
137,"When one has dealings with scholars and artists it is easy to miscalculate in opposite directions: behind a remarkable scholar one not infrequently finds a mediocre man, and behind a mediocre artist often - a very remarkable man.","Im Verkehre mit Gelehrten und Künstlern verrechnet man sich leicht in umgekehrter Richtung: man findet hinter einem merkwürdigen Gelehrten nicht selten einen mittelmässigen Menschen, und hinter einem mittelmässigen Künstler sogar oft - einen sehr merkwürdigen Menschen."
138,What we do in dreams we also do when we are awake: we invent and fabricate the person with whom we associate - and immediately forget we have done so.,"Wir machen es auch im Wachen wie im Traume: wir erfinden und erdichten erst den Menschen, mit dem wir verkehren - und vergessen es sofort."
139,In revenge and in love woman is more barbarous than man.,"In der Rache und in der Liebe ist das Weib barbarischer, als der Mann."
140,Counsel as conundrum - `If the bonds are not to burst - you must try to cut them first.',"Rath als Räthsel. - ""Soll das Band nicht reissen, - musst du erst drauf beissen."""
141,The belly is the reason man does not so easily take himself for a god.,"Der Unterleib ist der Grund dafür, dass der Mensch sich nicht so leicht für einen Gott hält."
142,"The chastest expression I have ever heard: `Dans le v ritable amour c'est l me, qui enveloppe le corps.'","Das züchtigste Wort, das ich gehört habe: ""Dans le véritable amour c'est l'âme, qui enveloppe le corps."""
143,Our vanity would have just that which we do best count as that which is hardest for us. The origin of many a morality:,"Was wir am besten thun, von dem möchte unsre Eitelkeit, dass es grade als Das gelte, was uns am schwersten werde. Zum Ursprung mancher Moral."
144,"When a woman has scholarly inclinations there is usually something wrong with her sexuality. Unfruitfulness itself disposes one to a certain masculinity of taste; for man is, if I may be allowed to say so, `the unfruitful animal'.","Wenn ein Weib gelehrte Neigungen hat, so ist gewöhnlich Etwas an ihrer Geschlechtlichkeit nicht in Ordnung. Schon Unfruchtbarkeit disponirt zu einer gewissen Männlichkeit des Geschmacks; der Mann ist nämlich, mit Verlaub, ""das unfruchtbare Thier""."
145,Comparing man and woman in general one may say: woman would not have the genius for finery if she did not have the instinct for thesecondary role.,"Mann und Weib im Ganzen verglichen, darf man sagen: das Weib hätte nicht das Genie des Putzes, wenn es nicht den Instinkt der zweiten Rolle hätte."
146,He who fights with monsters should look to it that he himself does not become a monster. And when you gaze long into an abyss the abyss also gazes into you.,"Wer mit Ungeheuern kämpft, mag zusehn, dass er nicht dabei zum Ungeheuer wird. Und wenn du lange in einen Abgrund blickst, blickt der Abgrund auch in dich hinein."
147,"From old Florentine novels, moreover - from life: 'buona femmina a mala femmina vuol bastone'. Sacchetti, Nov. 86.","Aus alten florentinischen Novellen, überdies - aus dem Leben: buona femmina e mala femmina vuol bastone. Sacchetti Nov. 86."
148,To seduce one's neighbour to a good opinion and afterwards faithfully to believe in this good opinion of one's neighbour: who can do this trick as well as women?,Den Nächsten zu einer guten Meinung verführen und hinterdrein an diese Meinung des Nächsten gläubig glauben: wer thut es in diesem Kunststück den Weibern gleich? -
149,That which an age feels to be evil is usually an untimely after-echo of that which was formerly felt to be good - the atavism of an older ideal.,"Was eine Zeit als böse empfindet, ist gewöhnlich ein unzeitgemässer Nachschlag dessen, was ehemals als gut empfunden wurde, - der Atavismus eines älteren Ideals."
150,"Around the hero everything becomes a tragedy, around the demi-god a satyr-play; and around God everything becomes what? Perhaps a `world'? -","Um den Helden herum wird Alles zur Tragödie, um den Halbgott herum Alles zum Satyrspiel; und um Gott herum wird Alles - wie? vielleicht zur ""Welt""? -"
151,"It is not enough to possess a talent: one must also possess your permission to possess it - eh, my friends?","Ein Talent haben ist nicht genug: man muss auch eure Erlaubniss dazu haben, - wie? meine Freunde?"
152,`Where the tree of knowledge stands is always Paradise': thus speak the oldest and youngest serpents.,"Wo der Baum der Erkenntniss steht, ist immer das Paradies: so reden die ältesten und die jüngsten Schlangen."
153,That which is done out of love always takes place beyond good and evil.,"Was aus Liebe gethan wird, geschieht immer jenseits von Gut und Böse."
154,"Objection, evasion, happy distrust, pleasure in mockery are signs of health: everything unconditional belongs in pathology.","Der Einwand, der Seitensprung, das fröhliche Misstrauen, die Spottlust sind Anzeichen der Gesundheit: alles Unbedingte gehört in die Pathologie."
155,The sense of the tragic increases and diminishes with sensuality.,Der Sinn für das Tragische nimmt mit der Sinnlichkeit ab und zu.
156,"Madness is something rare in individuals - but in groups, parties, peoples, ages it is the rule.","Der Irrsinn ist bei Einzelnen etwas Seltenes, - aber bei Gruppen, Parteien, Völkern, Zeiten die Regel."
157,The thought of suicide is a powerful solace: by means of it one gets through many a bad night.,Der Gedanke an den Selbstmord ist ein starkes Trostmittel: mit ihm kommt man gut über manche böse Nacht hinweg.
158,"To our strongest drive, the tyrant in us, not only our reason but also our conscience submits.","Unserm stärksten Triebe, dem Tyrannen in uns, unterwirft sich nicht nur unsre Vernunft, sondern auch unser Gewissen."
159,One has to requite good and ill: but why to precisely the person who did us good or ill?,"Man muss vergelten, Gutes und Schlimmes: aber warum gerade an der Person, die uns Gutes oder Schlimmes that?"
160,One no longer loves one's knowledge enough when one has communicated it.,"Man liebt seine Erkenntniss nicht genug mehr, sobald man sie mittheilt."
161,Poets behave impudently towards their experiences: they exploit them.,Die Dichter sind gegen ihre Erlebnisse schamlos: sie beuten sie aus.
162,Our neighbour is not our neighbour but our neighbour s neighbour thus thinks every people.,"Unser Nächster ist nicht unser Nachbar, sondern dessen Nachbar - so denkt jedes Volk."
163,Love brings to light the exalted and concealed qualities of a lover - what is rare and exceptional in him: to that extent it can easily deceive as to what is normal in him.,"Die Liebe bringt die hohen und verborgenen Eigenschaften eines Liebenden an's Licht, - sein Seltenes, Ausnahmsweises: insofern täuscht sie leicht über Das, was Regel an ihm ist."
164,"Jesus said to his Jews: `The law was made for servants - love God as I love him, as his son! What have we sons of God to do with morality!'","Jesus sagte zu seinen Juden: ""das Gesetz war für Knechte, - liebt Gott, wie ich ihn liebe, als sein Sohn! Was geht uns Söhne Gottes die Moral an!"" -"
165,Concerning every party - A shepherd always has need of a bellwether - or he must himself occasionally be one.,"Angesichts jeder Partei. - Ein Hirt hat immer auch noch einen Leithammel nöthig, - oder er muss selbst gelegentlich Hammel sein."
166,"You may lie with your mouth, but with the mouth you make as you do so you none the less tell the truth.","Man lügt wohl mit dem Munde; aber mit dem Maule, das man dabei macht, sagt man doch noch die Wahrheit."
167,With hard men intimacy is a thing of shame and something precious.,Bei harten Menschen ist die Innigkeit eine Sache der Scham - und etwas Kostbares.
168,"Christianity gave Eros poison to drink - he did not die of it, to be sure, but degenerated into vice.","Das Christenthum gab dem Eros Gift zu trinken: - er starb zwar nicht daran, aber entartete, zum Laster."
169,to talk about oneself a great deal can also be a means of concealing oneself.,"Viel von sich reden kann auch ein Mittel sein, sich zu verbergen."
170,In praise there is more importunity than in blame.,"Im Lobe ist mehr Zudringlichkeit, als im Tadel."
171,"Pity in a man of knowledge seems almost ludicrous, like sensitive hands on a Cyclops.","Mitleiden wirkt an einem Menschen der Erkenntniss beinahe zum Lachen, wie zarte Hände an einem Cyklopen."
172,From love of man one sometimes embraces anyone (because one cannot embrace everyone): but one must never let this anyone know it. . .,Man umarmt aus Menschenliebe bisweilen einen Beliebigen (weil man nicht Alle umarmen kann): aber gerade Das darf man dem Beliebigen nicht verrathen.....
173,"One does not hate so long as one continues to rate low, but only when one has come to rate equal or higher.","Man hasst nicht, so lange man noch gering schätzt, sondern erst, wenn man gleich oder höher schätzt."
174,"You utilitarians, you too love everything useful only as a vehicle of your inclinations - you too really find the noise of its wheels intolerable?","Ihr Utilitarier, auch ihr liebt alles utile nur als ein Fuhrwerk eurer Neigungen, - auch ihr findet eigentlich den Lärm seiner Räder unausstehlich?"
175,Ultimately one loves one's desires and not that which is desired.,"Man liebt zuletzt seine Begierde, und nicht das Begehrte."
176,The vanity of others offends our taste only when it offends our vanity.,"Die Eitelkeit Andrer geht uns nur dann wider den Geschmack, wenn sie wider unsre Eitelkeit geht."
177,Perhaps no one has ever been sufficiently truthful about what `truthfulness' is.,"Ober Das, was ""Wahrhaftigkeit"" ist, war vielleicht noch Niemand wahrhaftig genug."
178,Clever people are not credited with their follies: what a deprivation of human rights!,Klugen Menschen glaubt man ihre Thorheiten nicht: welche Einbusse an Menschenrechten!
179,"The consequences of our actions take us by the scruff of the neck, altogether indifferent to the fact that we have `improved' in the meantime.","Die Folgen unsrer Handlungen fassen uns am Schopfe, sehr gleichgültig dagegen, dass wir uns inzwischen ""gebessert"" haben."
180,There is an innocence in lying which is the sign of good faith in a cause.,"Es giebt eine Unschuld in der Lüge, welche das Zeichen des guten Glaubens an eine Sache ist."
181,It is inhuman to bless where one is cursed.,"Es ist unmenschlich, da zu segnen, wo Einem geflucht wird."
182,"The familiarity of the superior embitters, because it may not be returned.","Die Vertraulichkeit des überlegenen erbittert, weil sie nicht zurückgegeben werden darf. -"
183,`Not that you lied to me but that I no longer believe you - that is what has distressed me -.',"Nicht dass du mich belogst, sondern dass ich dir nicht mehr glaube,
hat mich erschüttert. -"
184,There is a wild spirit of good-naturedness which looks like malice.,"Es giebt einen Übermuth der Güte, welcher sich wie Bosheit ausnimmt."
185,`I do not like it.' - Why? - `I am not up to it.' - Has anyone ever answered like that?,"Er missfällt mir. - Warum? - ""Ich bin ihm nicht gewachsen."" - Hat je ein Mensch so geantwortet?"
